,ID,Username,Date,Retweet,Tweet,Hashtags,RT,SA,Float
0,1092712348811354113,MJokoS6,2019-02-05 09:11:40,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092712308571160576,onesoultweet,2019-02-05 09:11:30,Bikin jalan Tol pakai duit Utang Negara yang bayar Rakyat Tapi Rakyat Yang nggak dukung Pakde nggak boleh lewat Jalan Tol Gile Lu Ndro ItuNamanyaJancuk PrabowoIndonesiaMenang,,,2,Netral,0.6271512508392334
0,1092712200693735426,AlQossam3,2019-02-05 09:11:04,Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,,2019GantiPresiden ,4,Negatif,0.029301824048161507
0,1092712189847166981,feerzylant,2019-02-05 09:11:02,Yth Pemerintah dan Rakyat Rusia cq Ibu Dubes Rusia di Jakarta Kami mohon maaf atas ucapan yg tdk sepatutnya dr salah seorang tokoh politik dr negara kami Yakinlah bhw itu bukan mewakili suara rakyat Indonesia Sbg bukti permohonan maaf maka kami bertekad,,,52,Positif,0.9782789349555969
0,1092712120238493696,imam_bkh,2019-02-05 09:10:45,Pesan Perjuangan Calon Presiden RI H Prabowo Subianto kepada Emak Emak dan Relawan IndonesiaMenang,,2019PrabowoPresidenRI ,20,Negatif,0.0028211623430252075
0,1092711932602155008,morabudi,2019-02-05 09:10:00,,maklumi aja IQ digit IPK lt ijazah palsu planga plongo boneka kacung penipu tukang hutang musuh ulama anti islam perusak NKRI RakyatSudahMuak HaramPilihPemimpinIngkarJanji,RakyatSudahMuak 2019PrabowoPresidenRI 17AprilPrabowoPresiden 2019GantiPresiden HaramPilihPemimpinIngkarJanji ,0,Negatif,0.28192728757858276
0,1092711876784476160,PrimaVardhana,2019-02-05 09:09:47,,Indonesia dengan penduduk muslim terbanyak di dunia mana kok melempem Kok beda dengan saat janji dalam kampanye Pilpres dahulu UkhuwahIslamiyah,UkhuwahIslamiyah 2019GantiPresiden ,0,Positif,0.9553460478782654
0,1092711862473355264,MohamadCendikia,2019-02-05 09:09:44,,,2019GantiPresiden ,0,Positif,0.7787083983421326
0,1092711538954326016,PrimaVardhana,2019-02-05 09:08:27,,Presiden kok kebijakannya sering direvisi menteri Ini sebuah fakta kalau dia gak mampu jadi kepala negara sehingga selalu salah berkebijakan UkhuwahIslamiyah,UkhuwahIslamiyah 2019GantiPresiden 2019PrabowoSandi ,0,Negatif,0.11290249228477478
0,1092711506368548864,Revolusi411,2019-02-05 09:08:19,,Walau paslon belum pernah teruji jadi pemimpin negara tapi paslon sudah terbukti gagal memimpin negara,2019GantiPresiden ,0,Positif,0.7953959703445435
0,1092711288852090880,Kerja4As,2019-02-05 09:07:27,,Sandiaga Uno soroti kasus penyelundupan rotan di Kalimantan Tengah,2019GantiPresiden ,0,Positif,0.8291372060775757
0,1092711249308192768,antonsuranton,2019-02-05 09:07:18,,Sandiaga Uno soroti kasus penyelundupan rotan di Kalimantan Tengah IndonesiaAdilMakmur,IndonesiaAdilMakmur ,0,Positif,0.8291372060775757
0,1092710985331138561,Revolusi411,2019-02-05 09:06:15,,Yang masih dukung belum waras,2019GantiPresiden ,0,Positif,0.8410158157348633
0,1092710815533228032,wi_orangbiasa,2019-02-05 09:05:34,Kuis hadiah Kaos kerjsm amp Jakarta Syarat Follow amp RT Mjwb p tanyaan dsertai tagar Batang Padi yg sdh kering disebut apa bhs daerah masing pemenang diumumkan,,2019GantiPresiden ,43,Negatif,0.06426514685153961
0,1092710788970631168,wi_orangbiasa,2019-02-05 09:05:28,,Jarami sunda,2019GantiPresiden ,0,Positif,0.7787083983421326
0,1092710578399805445,Fajar_RAR,2019-02-05 09:04:38,Akhirnya UAS bicara Begitu keras nya UAS membantahnya kali ini Yang bayar gajimu siapa Allah yg bayar Jangan sombong jangan angkuh Hey junjunganmu itu bukan Tuhan,,,808,Positif,0.8679341673851013
0,1092710393049272320,mardi_kamil,2019-02-05 09:03:53,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092709931671740416,SintaLaurah,2019-02-05 09:02:03,,Sandiaga Berjanji Bantu Pemasaran Ekspor Kerajinan Khas Kalteng,,0,Positif,0.7787083983421326
0,1092709814294188034,selaluindo,2019-02-05 09:01:35,,Sandiaga Uno soroti kasus penyelundupan rotan di Kalimantan Tengah,,0,Positif,0.8291372060775757
0,1092709787291152384,Zamanimarwan1,2019-02-05 09:01:29,Kalimantan Barat PAS Anak kecil beli sarden April ganti Presiden Anak kecil bajunya biru April Presiden baru Anak kecil menanam PADI April Prabowo Sandi,,,25,Negatif,0.007093915715813637
0,1092709625453936641,Boboy75305386,2019-02-05 09:00:50,Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,,2019GantiPresiden ,35,Negatif,0.029301824048161507
0,1092709505798950912,agusalfath,2019-02-05 09:00:22,,Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,2019GantiPresiden ,0,Negatif,0.029301824048161507
0,1092709473116798976,RikiAla36393569,2019-02-05 09:00:14,,tak absolut dan antidemokrasi KoalisiPrabohong WowoCapresAbadi,2019PrabowoSandi 2019PrabowoPresiden 2019GantiPresiden 17AprilCoblosNomor2 17AprilPrabowoPresiden 17AprilPrabowoSandi 2019PrabowoPresidenRI KoalisiPrabohong WowoCapresAbadi ,0,Positif,0.7981909513473511
0,1092709088872456192,Themark38825398,2019-02-05 08:58:42,,tanti Makasih emak kan,2019GantiPresiden ,0,Negatif,0.17232616245746613
0,1092708905925324801,Ihwan22204042,2019-02-05 08:57:59,Mari kita bergerak Bersama Warga NU utk memenangkan PrabowoSandi Liatlah Nasehat dan Petuah Gus Miftah TIDAK ADA KEWAJIBAN warga NU memilih KMA Inshaa Allah IndonesiaAdilMakmur PrabowoSandiUntukIndonesia,,PrabowoSandi ,350,Positif,0.9966490864753723
0,1092708898706939904,Adypratama_AP,2019-02-05 08:57:57,,id Males ah mau nyoblos yang lain aja yang mempunyai intergritas kepimpinan HoaxPropagandaRusia,HoaxPropagandaRusia 2019GantiPresiden ,0,Positif,0.9874373078346252
0,1092708865022382080,Takkeru29,2019-02-05 08:57:49,,Lubang kosong di korek ya dungu,2019GantiPresiden 2019PrabowoSandi ,0,Positif,0.9594218730926514
0,1092708810114748416,KaptenLudfi,2019-02-05 08:57:36,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
